Agricultural Practice,Day,Cases
Organic Material Cover,219,399082.69
Organic Material Cover,220,381094.37
Organic Material Cover,221,363916.3
Organic Material Cover,222,347512.03
Organic Material Cover,223,331846.74
Organic Material Cover,224,316887.19
Organic Material Cover,225,302601.62
Mulch,1,1.0
Mulch,2,1.23
Mulch,3,1.51
Mulch,4,1.85
Mulch,5,2.27
Mulch,6,2.79
Mulch,7,3.42
Mulch,8,4.2
Mulch,9,5.16
Mulch,10,6.33
Mulch,11,7.77
Mulch,12,9.54
Mulch,13,11.72
Mulch,14,14.38
Mulch,15,17.66
Mulch,16,21.67
Mulch,17,26.61
Mulch,18,32.66
Mulch,19,40.1
Mulch,20,49.22
Mulch,21,60.43
Mulch,22,74.18
Mulch,23,91.07
Mulch,24,111.8
Mulch,25,137.25
Mulch,26,168.48
Mulch,27,206.83
Mulch,28,253.91
Mulch,29,311.71
Mulch,30,382.66
Mulch,31,469.75
Mulch,32,576.68
Mulch,33,707.93
Mulch,34,869.07
Mulch,35,1066.88
Mulch,36,1309.71
Mulch,37,1607.82
Mulch,38,1973.77
Mulch,39,2423.01
Mulch,40,2974.5
Mulch,41,3651.51
Mulch,42,4482.6
Mulch,43,5502.82
Mulch,44,6755.22
Mulch,45,8292.62
Mulch,46,10179.86
Mulch,47,12496.51
Mulch,48,15340.25
Mulch,49,18830.93
Mulch,50,23115.63
Mulch,51,28374.84
Mulch,52,34829.98
Mulch,53,42752.67
Mulch,54,52476.09
Mulch,55,64408.76
Mulch,56,79051.58
Mulch,57,97018.4
Mulch,58,119061.32
Mulch,59,146101.31
Mulch,60,179265.56
Mulch,61,219932.69
Mulch,62,269787.33
Mulch,63,330885.99
Mulch,64,405735.82
Mulch,65,497388.57
Mulch,66,609551.6
Mulch,67,746717.87
Mulch,68,914316.21
Mulch,69,1118882.22
Mulch,70,1368248.06
Mulch,71,1671746.79
Mulch,72,2040422.0
Mulch,73,2487226.83
Mulch,74,3027187.2
Mulch,75,3677491.27
Mulch,76,4457451.7
Mulch,77,5388269.37
Mulch,78,6492509.78
Mulch,79,7793191.33
Mulch,80,9312386.6
Mulch,81,11069265.05
Mulch,82,13077571.7
Mulch,83,15342651.76
Mulch,84,17858293.34
Mulch,85,20603846.85
Mulch,86,23542236.22
Mulch,87,26619526.76
Mulch,88,29766581.39
Mulch,89,32902989.94
Mulch,90,35942954.87
Mulch,91,38802302.19
Mulch,92,41405457.77
Mulch,93,43691213.13
Mulch,94,45616420.31
Mulch,95,47157273.84
Mulch,96,48308366.96
Mulch,97,49080091.41
Mulch,98,49495105.41
Mulch,99,49584551.26
Mulch,100,49384535.64
Mulch,101,48933178.18
Mulch,102,48268347.85
Mulch,103,47426080.95
Mulch,104,46439581.63
Mulch,105,45338695.51
Mulch,106,44149723.92
Mulch,107,42895475.75
Mulch,108,41595467.32
Mulch,109,40266205.79
Mulch,110,38921509.54
Mulch,111,37572834.86
Mulch,112,36229589.65
Mulch,113,34899423.44
Mulch,114,33588488.44
Mulch,115,32301670.04
Mulch,116,31042787.66
Mulch,117,29814767.82
Mulch,118,28619792.22
Mulch,119,27459423.63
Mulch,120,26334712.42
Mulch,121,25246286.5
Mulch,122,24194426.89
Mulch,123,23179131.23
Mulch,124,22200166.99
Mulch,125,21257115.99
Mulch,126,20349411.68
Mulch,127,19476370.21
Mulch,128,18637216.4
Mulch,129,17831105.34
Mulch,130,17057140.39
Mulch,131,16314388.13
Mulch,132,15601890.71
Mulch,133,14918676.13
Mulch,134,14263766.65
Mulch,135,13636185.74
Mulch,136,13034963.69
Mulch,137,12459142.27
Mulch,138,11907778.33
Mulch,139,11379946.82
Mulch,140,10874743.05
Mulch,141,10391284.5
Mulch,142,9928712.13
Mulch,143,9486191.34
Mulch,144,9062912.66
Mulch,145,8658092.09
Mulch,146,8270971.32
Mulch,147,7900817.72
Mulch,148,7546924.19
Mulch,149,7208608.87
Mulch,150,6885214.84
Mulch,151,6576109.61
Mulch,152,6280684.63
Mulch,153,5998354.76
Mulch,154,5728557.66
Mulch,155,5470753.15
Mulch,156,5224422.62
Mulch,157,4989068.3
Mulch,158,4764212.67
Mulch,159,4549397.76
Mulch,160,4344184.48
Mulch,161,4148151.99
Mulch,162,3960897.03
Mulch,163,3782033.29
Mulch,164,3611190.76
Mulch,165,3448015.16
Mulch,166,3292167.28
Mulch,167,3143322.46
Mulch,168,3001169.97
Mulch,169,2865412.46
Mulch,170,2735765.46
Mulch,171,2611956.83
Mulch,172,2493726.27
Mulch,173,2380824.83
Mulch,174,2273014.43
Mulch,175,2170067.42
Mulch,176,2071766.17
Mulch,177,1977902.59
Mulch,178,1888277.77
Mulch,179,1802701.59
Mulch,180,1720992.31
Mulch,181,1642976.28
Mulch,182,1568487.49
Mulch,183,1497367.36
Mulch,184,1429464.32
Mulch,185,1364633.55
Mulch,186,1302736.7
Mulch,187,1243641.58
Mulch,188,1187221.9
Mulch,189,1133357.01
Mulch,190,1081931.67
Mulch,191,1032835.78
Mulch,192,985964.18
Mulch,193,941216.42
Mulch,194,898496.58
Mulch,195,857713.01
Mulch,196,818778.2
Mulch,197,781608.56
Mulch,198,746124.26
Mulch,199,712249.09
Mulch,200,679910.22
Mulch,201,649038.14
Mulch,202,619566.46
Mulch,203,591431.77
Mulch,204,564573.55
Mulch,205,538933.97
Mulch,206,514457.84
Mulch,207,491092.45
Mulch,208,468787.47
Mulch,209,447494.85
Mulch,210,427168.7
Mulch,211,407765.22
Mulch,212,389242.57
Mulch,213,371560.81
Mulch,214,354681.82
Mulch,215,338569.2
Mulch,216,323188.17
Mulch,217,308505.55
Mulch,218,294489.67
Mulch,219,281110.27
Mulch,220,268338.48
Mulch,221,256146.72
Mulch,222,244508.67
Mulch,223,233399.21
Mulch,224,222794.34
Mulch,225,212671.16
